,neighborhood,building_class_at_time_of_sale,block,lot,residential_units,tax_class_at_time_of_sale,year_built,sale_price,sale_date,building_class_1,building_class_2
17149,LAURELTON,A0,12861.0,50.0,1,1.0,1945-01-01,560000.0,2021-03-17,A,0
17151,LAURELTON,A0,12862.0,26.0,1,1.0,1950-01-01,630000.0,2021-05-10,A,0
17152,LAURELTON,A0,12862.0,66.0,1,1.0,1950-01-01,599990.0,2021-07-07,A,0
17154,LAURELTON,A2,12864.0,54.0,1,1.0,1950-01-01,10.0,2021-05-31,A,2
17156,LAURELTON,A0,12868.0,25.0,1,1.0,1950-01-01,499999.0,2021-12-10,A,0
17159,LAURELTON,A2,12870.0,10.0,1,1.0,1950-01-01,10.0,2021-10-01,A,2
17160,LAURELTON,A5,12871.0,18.0,1,1.0,1925-01-01,690000.0,2021-11-22,A,5
17163,LAURELTON,A5,12874.0,28.0,1,1.0,1955-01-01,720000.0,2021-10-13,A,5
17164,LAURELTON,A1,12875.0,25.0,1,1.0,1949-01-01,540000.0,2021-08-13,A,1
17167,LAURELTON,A2,12878.0,24.0,1,1.0,1950-01-01,542000.0,2021-11-29,A,2
17168,LAURELTON,A2,12879.0,13.0,1,1.0,1950-01-01,550000.0,2021-06-30,A,2
17169,LAURELTON,A2,12880.0,61.0,1,1.0,1950-01-01,500000.0,2021-07-15,A,2
17170,LAURELTON,A2,12880.0,106.0,1,1.0,1950-01-01,625000.0,2021-03-18,A,2
17171,LAURELTON,A1,12892.0,1.0,1,1.0,1930-01-01,10000.0,2021-11-18,A,1
17172,LAURELTON,A2,12892.0,3.0,1,1.0,1945-01-01,950000.0,2021-12-08,A,2
17173,LAURELTON,A2,12892.0,46.0,1,1.0,1945-01-01,300000.0,2021-07-28,A,2
17175,LAURELTON,A2,12893.0,111.0,1,1.0,1945-01-01,393750.0,2021-08-16,A,2
17176,LAURELTON,A2,12893.0,124.0,1,1.0,1945-01-01,520000.0,2021-08-24,A,2
17177,LAURELTON,A2,12893.0,124.0,1,1.0,1945-01-01,630000.0,2021-10-08,A,2
17178,LAURELTON,A2,12894.0,27.0,1,1.0,1945-01-01,391880.0,2021-08-06,A,2
17179,LAURELTON,A2,12894.0,42.0,1,1.0,1945-01-01,720000.0,2021-12-10,A,2
17180,LAURELTON,A2,12894.0,60.0,1,1.0,1945-01-01,650000.0,2021-08-10,A,2
17181,LAURELTON,A1,12895.0,88.0,1,1.0,1930-01-01,410549.0,2021-06-21,A,1
17182,LAURELTON,A1,12895.0,93.0,1,1.0,1930-01-01,440000.0,2021-05-28,A,1
17183,LAURELTON,A1,12895.0,93.0,1,1.0,1930-01-01,665000.0,2021-09-27,A,1
17185,LAURELTON,A2,12898.0,186.0,1,1.0,1945-01-01,660000.0,2021-05-11,A,2
17187,LAURELTON,A1,12898.0,224.0,1,1.0,1930-01-01,10.0,2021-01-20,A,1
17188,LAURELTON,A1,12900.0,1.0,1,1.0,1930-01-01,593000.0,2021-07-19,A,1
17189,LAURELTON,A1,12900.0,7.0,1,1.0,2009-01-01,758260.0,2021-04-15,A,1
17190,LAURELTON,A0,12901.0,322.0,1,1.0,1950-01-01,610000.0,2021-05-28,A,0
17191,LAURELTON,A2,12901.0,357.0,1,1.0,1950-01-01,645000.0,2021-12-27,A,2
17193,LAURELTON,A5,12902.0,34.0,1,1.0,1935-01-01,560000.0,2021-05-07,A,5
17194,LAURELTON,A5,12902.0,68.0,1,1.0,1935-01-01,580000.0,2021-02-26,A,5
17195,LAURELTON,A5,12904.0,2.0,1,1.0,1930-01-01,660000.0,2021-12-27,A,5
17196,LAURELTON,A5,12904.0,34.0,1,1.0,1930-01-01,599000.0,2021-09-24,A,5
17197,LAURELTON,A1,12904.0,63.0,1,1.0,1930-01-01,573722.0,2021-10-26,A,1
17198,LAURELTON,A1,12904.0,65.0,1,1.0,1930-01-01,748500.0,2021-01-19,A,1
17199,LAURELTON,A1,12904.0,74.0,1,1.0,1930-01-01,765000.0,2021-05-07,A,1
17200,LAURELTON,A1,12905.0,56.0,1,1.0,1930-01-01,10.0,2021-07-02,A,1
17201,LAURELTON,A1,12905.0,62.0,1,1.0,1930-01-01,690000.0,2021-07-13,A,1
17202,LAURELTON,A1,12905.0,69.0,1,1.0,1930-01-01,670000.0,2021-04-16,A,1
17203,LAURELTON,A5,12906.0,45.0,1,1.0,1930-01-01,660000.0,2021-11-29,A,5
17206,LAURELTON,A2,12910.0,24.0,1,1.0,1945-01-01,490000.0,2021-01-22,A,2
17207,LAURELTON,A1,12910.0,37.0,1,1.0,1945-01-01,565000.0,2021-02-19,A,1
17208,LAURELTON,A1,12910.0,51.0,1,1.0,1945-01-01,735000.0,2021-02-02,A,1
17209,LAURELTON,A2,12912.0,28.0,1,1.0,1945-01-01,10.0,2021-08-31,A,2
17210,LAURELTON,A2,12912.0,56.0,1,1.0,1945-01-01,635000.0,2021-03-17,A,2
17211,LAURELTON,A2,12913.0,40.0,1,1.0,1950-01-01,480000.0,2021-02-03,A,2
17212,LAURELTON,A2,12913.0,44.0,1,1.0,1950-01-01,450000.0,2021-04-23,A,2
17215,LAURELTON,A2,12925.0,95.0,1,1.0,1950-01-01,590000.0,2021-10-08,A,2
17216,LAURELTON,A2,12926.0,234.0,1,1.0,1950-01-01,715000.0,2021-12-22,A,2
17217,LAURELTON,A1,12926.0,264.0,1,1.0,1925-01-01,679250.0,2021-07-16,A,1
17218,LAURELTON,A1,12926.0,264.0,1,1.0,1925-01-01,380000.0,2021-01-28,A,1
17219,LAURELTON,A1,12927.0,98.0,1,1.0,1930-01-01,650000.0,2021-04-23,A,1
17220,LAURELTON,A2,12928.0,36.0,1,1.0,1950-01-01,740000.0,2021-09-01,A,2
17221,LAURELTON,A1,12930.0,119.0,1,1.0,1925-01-01,680000.0,2021-02-18,A,1
17222,LAURELTON,A2,12932.0,94.0,1,1.0,1945-01-01,568000.0,2021-06-02,A,2
17226,LAURELTON,A5,12935.0,67.0,1,1.0,1935-01-01,259500.0,2021-06-25,A,5
17227,LAURELTON,A5,12935.0,72.0,1,1.0,1935-01-01,590000.0,2021-08-13,A,5
17228,LAURELTON,A5,12935.0,74.0,1,1.0,1935-01-01,485000.0,2021-08-25,A,5
17229,LAURELTON,A5,12936.0,59.0,1,1.0,1935-01-01,422750.0,2021-06-03,A,5
17230,LAURELTON,A5,12936.0,59.0,1,1.0,1935-01-01,680000.0,2021-12-21,A,5
17232,LAURELTON,A1,12937.0,99.0,1,1.0,1935-01-01,670000.0,2021-01-29,A,1
17234,LAURELTON,A1,12938.0,83.0,1,1.0,1940-01-01,410000.0,2021-09-13,A,1
17236,LAURELTON,A1,12938.0,115.0,1,1.0,1940-01-01,740000.0,2021-04-22,A,1
17240,LAURELTON,A2,12940.0,67.0,1,1.0,1940-01-01,680000.0,2021-10-08,A,2
17241,LAURELTON,A2,12940.0,78.0,1,1.0,1940-01-01,560000.0,2021-06-11,A,2
17243,LAURELTON,A1,12940.0,100.0,1,1.0,1940-01-01,749000.0,2021-05-04,A,1
17244,LAURELTON,A2,12941.0,60.0,1,1.0,1945-01-01,649000.0,2021-01-30,A,2
17245,LAURELTON,A2,12941.0,70.0,1,1.0,1935-01-01,10.0,2021-11-02,A,2
17246,LAURELTON,A2,12941.0,74.0,1,1.0,1940-01-01,261250.0,2021-09-02,A,2
17248,LAURELTON,A2,12942.0,80.0,1,1.0,1950-01-01,309243.0,2021-03-31,A,2
17250,LAURELTON,A2,12943.0,159.0,1,1.0,1950-01-01,630000.0,2021-02-10,A,2
17252,LAURELTON,A1,12960.0,15.0,1,1.0,1920-01-01,660000.0,2021-11-10,A,1
17254,LAURELTON,A2,12961.0,31.0,1,1.0,1950-01-01,570000.0,2021-10-07,A,2
17257,LAURELTON,A2,12963.0,326.0,1,1.0,1929-01-01,237500.0,2021-02-16,A,2
17258,LAURELTON,A1,12967.0,3.0,1,1.0,1940-01-01,710000.0,2021-09-23,A,1
17259,LAURELTON,A1,12967.0,28.0,1,1.0,1940-01-01,412000.0,2021-09-16,A,1
17261,LAURELTON,A5,12969.0,5.0,1,1.0,1935-01-01,630000.0,2021-12-03,A,5
17265,LAURELTON,A1,13013.0,6.0,1,1.0,1930-01-01,309900.0,2021-06-29,A,1
17266,LAURELTON,A1,13013.0,70.0,1,1.0,1930-01-01,355000.0,2021-07-20,A,1
17268,LAURELTON,A1,13018.0,8.0,1,1.0,1930-01-01,519250.0,2021-11-23,A,1
17269,LAURELTON,A1,13018.0,56.0,1,1.0,1925-01-01,769000.0,2021-10-25,A,1
17270,LAURELTON,A2,13031.0,34.0,1,1.0,1920-01-01,10.0,2021-10-03,A,2
17271,LAURELTON,A2,13036.0,24.0,1,1.0,1960-01-01,557500.0,2021-10-25,A,2
17272,LAURELTON,A2,13037.0,49.0,1,1.0,1925-01-01,10.0,2021-04-15,A,2
17276,LAURELTON,A2,13071.0,81.0,1,1.0,1945-01-01,605000.0,2021-06-14,A,2
17279,LAURELTON,A1,13098.0,12.0,1,1.0,1930-01-01,670000.0,2021-04-13,A,1
17281,LAURELTON,A2,13103.0,8.0,1,1.0,1945-01-01,540000.0,2021-07-15,A,2
17282,LAURELTON,A2,13104.0,43.0,1,1.0,1945-01-01,650000.0,2021-12-22,A,2
17283,LAURELTON,A2,13105.0,1.0,1,1.0,1930-01-01,371000.0,2021-11-23,A,2
17284,LAURELTON,A2,13107.0,1.0,1,1.0,1930-01-01,10.0,2021-08-02,A,2
17285,LAURELTON,A1,13108.0,51.0,1,1.0,1925-01-01,429000.0,2021-01-29,A,1
17286,LAURELTON,A1,13108.0,51.0,1,1.0,1925-01-01,793000.0,2021-06-17,A,1
17287,LAURELTON,A2,13114.0,40.0,1,1.0,1930-01-01,385000.0,2021-05-28,A,2
17288,LAURELTON,A5,13116.0,6.0,1,1.0,1960-01-01,615000.0,2021-09-01,A,5
17289,LAURELTON,A2,13118.0,69.0,1,1.0,1950-01-01,10.0,2021-01-21,A,2
17290,LAURELTON,A5,13119.0,34.0,1,1.0,1950-01-01,540000.0,2021-09-28,A,5
17292,LAURELTON,A2,13121.0,4.0,1,1.0,1935-01-01,510000.0,2021-02-02,A,2
17293,LAURELTON,A5,13122.0,42.0,1,1.0,1940-01-01,10.0,2021-01-15,A,5
17294,LAURELTON,A2,13126.0,31.0,1,1.0,1960-01-01,350000.0,2021-11-22,A,2
17295,LAURELTON,A2,13127.0,13.0,1,1.0,1960-01-01,435000.0,2021-06-15,A,2
17296,LAURELTON,A2,13127.0,13.0,1,1.0,1960-01-01,720000.0,2021-10-12,A,2
17298,LAURELTON,A1,13128.0,10.0,1,1.0,1930-01-01,660000.0,2021-12-29,A,1
17301,LAURELTON,A2,13130.0,65.0,1,1.0,1945-01-01,610000.0,2021-08-31,A,2
17304,LAURELTON,A1,13135.0,28.0,1,1.0,1920-01-01,580000.0,2021-07-13,A,1
17306,LAURELTON,A1,13137.0,33.0,1,1.0,1925-01-01,800000.0,2021-10-29,A,1
17307,LAURELTON,A1,13139.0,1.0,1,1.0,1940-01-01,790000.0,2021-10-08,A,1
17308,LAURELTON,A1,13140.0,3.0,1,1.0,1940-01-01,690000.0,2021-04-12,A,1
17310,LAURELTON,A5,13143.0,104.0,1,1.0,1991-01-01,1.0,2021-05-17,A,5
17311,LAURELTON,A5,13143.0,144.0,1,1.0,1991-01-01,539000.0,2021-08-02,A,5
17319,LAURELTON,A1,13153.0,52.0,1,1.0,1940-01-01,400530.0,2021-10-14,A,1
17320,LAURELTON,A5,13155.0,50.0,1,1.0,1930-01-01,250000.0,2021-08-24,A,5
17322,LAURELTON,A5,13155.0,52.0,1,1.0,1930-01-01,615000.0,2021-08-02,A,5
17323,LAURELTON,A5,13156.0,12.0,1,1.0,1930-01-01,10.0,2021-03-23,A,5
17329,LAURELTON,A1,13167.0,55.0,1,1.0,1930-01-01,250000.0,2021-09-14,A,1
17331,LAURELTON,A1,13168.0,47.0,1,1.0,1930-01-01,10.0,2021-03-16,A,1
17332,LAURELTON,A5,13172.0,38.0,1,1.0,1940-01-01,610000.0,2021-12-07,A,5
17334,LAURELTON,A1,13173.0,14.0,1,1.0,1920-01-01,10.0,2021-04-04,A,1
17337,LAURELTON,A1,13174.0,15.0,1,1.0,1920-01-01,610000.0,2021-01-28,A,1
17338,LAURELTON,A1,13174.0,62.0,1,1.0,1920-01-01,300000.0,2021-05-13,A,1
17340,LAURELTON,A1,13175.0,36.0,1,1.0,1925-01-01,566000.0,2021-04-23,A,1
17341,LAURELTON,A1,13175.0,38.0,1,1.0,1925-01-01,10.0,2021-07-28,A,1
17343,LAURELTON,A1,13175.0,49.0,1,1.0,1925-01-01,610000.0,2021-09-23,A,1
17345,LAURELTON,A2,13176.0,56.0,1,1.0,1930-01-01,735000.0,2021-09-09,A,2
17347,LAURELTON,A2,13177.0,14.0,1,1.0,1955-01-01,755000.0,2021-08-20,A,2
17348,LAURELTON,A2,13177.0,24.0,1,1.0,1935-01-01,685000.0,2021-12-15,A,2
17349,LAURELTON,A1,13178.0,7.0,1,1.0,1945-01-01,690000.0,2021-06-04,A,1
17350,LAURELTON,A1,13178.0,28.0,1,1.0,1945-01-01,550000.0,2021-01-27,A,1
17351,LAURELTON,A2,13178.0,45.0,1,1.0,1945-01-01,635000.0,2021-10-15,A,2
17353,LAURELTON,A2,13178.0,53.0,1,1.0,1945-01-01,735000.0,2021-05-03,A,2
17354,LAURELTON,A1,13178.0,61.0,1,1.0,1940-01-01,350000.0,2021-06-15,A,1
17355,LAURELTON,A1,13179.0,22.0,1,1.0,1930-01-01,550000.0,2021-07-01,A,1
17356,LAURELTON,A1,13179.0,31.0,1,1.0,1930-01-01,555000.0,2021-06-07,A,1
17357,LAURELTON,A1,13180.0,36.0,1,1.0,1930-01-01,575000.0,2021-09-24,A,1
17360,LAURELTON,A1,13181.0,61.0,1,1.0,1925-01-01,350000.0,2021-03-09,A,1
17362,LAURELTON,A1,13184.0,24.0,1,1.0,1935-01-01,10.0,2021-06-11,A,1
17363,LAURELTON,A2,13185.0,1.0,1,1.0,1935-01-01,508000.0,2021-10-25,A,2
17364,LAURELTON,A1,13187.0,56.0,1,1.0,1930-01-01,699000.0,2021-03-18,A,1
17365,LAURELTON,A1,13188.0,29.0,1,1.0,1930-01-01,700000.0,2021-11-19,A,1
17366,LAURELTON,A1,13188.0,41.0,1,1.0,1930-01-01,600000.0,2021-06-02,A,1
17369,LAURELTON,A5,13191.0,263.0,1,1.0,1940-01-01,555000.0,2021-09-13,A,5
17371,LAURELTON,A5,13191.0,274.0,1,1.0,1940-01-01,575000.0,2021-09-15,A,5
17374,LAURELTON,A1,13195.0,120.0,1,1.0,1935-01-01,570000.0,2021-09-24,A,1
17375,LAURELTON,A1,13196.0,114.0,1,1.0,1940-01-01,660000.0,2021-07-21,A,1
17377,LAURELTON,A1,13198.0,19.0,1,1.0,1935-01-01,585000.0,2021-05-07,A,1
17378,LAURELTON,A1,13199.0,61.0,1,1.0,1935-01-01,585000.0,2021-01-19,A,1
17379,LAURELTON,A1,13201.0,22.0,1,1.0,1930-01-01,685000.0,2021-12-17,A,1
17380,LAURELTON,A1,13201.0,22.0,1,1.0,1930-01-01,400000.0,2021-01-25,A,1
17493,LITTLE NECK,A5,8112.0,59.0,1,1.0,1920-01-01,735000.0,2021-04-29,A,5
17494,LITTLE NECK,A1,8112.0,177.0,1,1.0,1990-01-01,1330000.0,2021-08-11,A,1
17497,LITTLE NECK,A5,8116.0,48.0,1,1.0,1925-01-01,667500.0,2021-01-11,A,5
17498,LITTLE NECK,A5,8116.0,65.0,1,1.0,1925-01-01,610000.0,2021-06-29,A,5
17499,LITTLE NECK,A5,8116.0,74.0,1,1.0,1925-01-01,686000.0,2021-01-15,A,5
17500,LITTLE NECK,A5,8117.0,5.0,1,1.0,1925-01-01,788000.0,2021-12-17,A,5
17503,LITTLE NECK,A5,8117.0,70.0,1,1.0,1925-01-01,750000.0,2021-11-10,A,5
17505,LITTLE NECK,A5,8119.0,2.0,1,1.0,1940-01-01,770000.0,2021-12-10,A,5
17506,LITTLE NECK,A5,8119.0,63.0,1,1.0,1940-01-01,723000.0,2021-10-14,A,5
17508,LITTLE NECK,A5,8120.0,39.0,1,1.0,1930-01-01,782500.0,2021-11-30,A,5
17509,LITTLE NECK,A5,8120.0,53.0,1,1.0,1930-01-01,815000.0,2021-07-23,A,5
17510,LITTLE NECK,A5,8120.0,56.0,1,1.0,1930-01-01,760000.0,2021-11-08,A,5
17511,LITTLE NECK,A1,8121.0,21.0,1,1.0,1930-01-01,855000.0,2021-03-26,A,1
17514,LITTLE NECK,A1,8122.0,14.0,1,1.0,1930-01-01,1022000.0,2021-08-17,A,1
17515,LITTLE NECK,A3,8122.0,28.0,1,1.0,1930-01-01,1600000.0,2021-11-03,A,3
17516,LITTLE NECK,A1,8123.0,1.0,1,1.0,1920-01-01,1150000.0,2021-12-10,A,1
17517,LITTLE NECK,A0,8125.0,67.0,1,1.0,1955-01-01,925000.0,2021-06-25,A,0
17518,LITTLE NECK,A0,8125.0,75.0,1,1.0,1955-01-01,270000.0,2021-03-18,A,0
17519,LITTLE NECK,A0,8125.0,88.0,1,1.0,1955-01-01,988000.0,2021-11-23,A,0
17520,LITTLE NECK,A5,8126.0,16.0,1,1.0,1925-01-01,755000.0,2021-10-08,A,5
17522,LITTLE NECK,A2,8134.0,136.0,1,1.0,1955-01-01,900000.0,2021-06-10,A,2
17523,LITTLE NECK,A2,8134.0,142.0,1,1.0,1955-01-01,910000.0,2021-03-04,A,2
17525,LITTLE NECK,A1,8139.0,69.0,1,1.0,1940-01-01,1560000.0,2021-06-22,A,1
17526,LITTLE NECK,A2,8141.0,51.0,1,1.0,1925-01-01,900000.0,2021-03-22,A,2
17527,LITTLE NECK,A2,8143.0,10.0,1,1.0,2008-01-01,1900000.0,2021-11-23,A,2
17528,LITTLE NECK,A1,8149.0,58.0,1,1.0,1955-01-01,1168000.0,2021-09-29,A,1
17531,LITTLE NECK,A2,8151.0,15.0,1,1.0,1955-01-01,760000.0,2021-05-06,A,2
17535,LITTLE NECK,A2,8153.0,28.0,1,1.0,1965-01-01,805000.0,2021-12-08,A,2
17539,LITTLE NECK,A2,8214.0,150.0,1,1.0,1960-01-01,965000.0,2021-04-06,A,2
17540,LITTLE NECK,A3,8217.0,123.0,1,1.0,2005-01-01,1638000.0,2021-07-19,A,3
17541,LITTLE NECK,A5,8219.0,132.0,1,1.0,1960-01-01,680000.0,2021-03-18,A,5
17542,LITTLE NECK,A1,8220.0,84.0,1,1.0,1950-01-01,1055000.0,2021-08-09,A,1
17543,LITTLE NECK,A1,8220.0,90.0,1,1.0,1950-01-01,975000.0,2021-01-07,A,1
17544,LITTLE NECK,A1,8221.0,53.0,1,1.0,1950-01-01,1400000.0,2021-06-10,A,1
17546,LITTLE NECK,A0,8224.0,66.0,1,1.0,1945-01-01,910000.0,2021-07-29,A,0
17547,LITTLE NECK,A1,8225.0,35.0,1,1.0,1950-01-01,1430000.0,2021-04-28,A,1
17548,LITTLE NECK,A3,8228.0,1.0,1,1.0,2020-01-01,2321610.0,2021-12-09,A,3
17549,LITTLE NECK,A1,8228.0,108.0,1,1.0,1925-01-01,1270000.0,2021-01-12,A,1
17550,LITTLE NECK,A2,8229.0,52.0,1,1.0,1956-01-01,799000.0,2021-08-24,A,2
17551,LITTLE NECK,A1,8229.0,59.0,1,1.0,1930-01-01,965000.0,2021-04-09,A,1
17552,LITTLE NECK,A1,8230.0,66.0,1,1.0,1925-01-01,1200000.0,2021-05-07,A,1
17553,LITTLE NECK,A0,8230.0,303.0,1,1.0,1950-01-01,1030000.0,2021-03-09,A,0
17554,LITTLE NECK,A1,8231.0,232.0,1,1.0,2000-01-01,1150000.0,2021-10-15,A,1
17556,LITTLE NECK,A2,8231.0,347.0,1,1.0,1950-01-01,950000.0,2021-03-19,A,2
17557,LITTLE NECK,A1,8232.0,389.0,1,1.0,1935-01-01,988000.0,2021-04-05,A,1
17558,LITTLE NECK,A2,8233.0,411.0,1,1.0,1935-01-01,850000.0,2021-06-10,A,2
17560,LITTLE NECK,A1,8234.0,132.0,1,1.0,1935-01-01,950000.0,2021-04-21,A,1
17562,LITTLE NECK,A0,8236.0,23.0,1,1.0,1945-01-01,914000.0,2021-06-25,A,0
17563,LITTLE NECK,A1,8237.0,21.0,1,1.0,1940-01-01,869000.0,2021-08-05,A,1
17565,LITTLE NECK,A3,8239.0,8.0,1,1.0,1955-01-01,1800000.0,2021-08-05,A,3
17566,LITTLE NECK,A1,8239.0,15.0,1,1.0,1955-01-01,2038888.0,2021-10-29,A,1
17568,LITTLE NECK,A1,8240.0,25.0,1,1.0,2009-01-01,1880000.0,2021-06-25,A,1
17569,LITTLE NECK,A0,8242.0,1.0,1,1.0,1955-01-01,950000.0,2021-02-08,A,0
17570,LITTLE NECK,A1,8242.0,14.0,1,1.0,1940-01-01,252500.0,2021-08-23,A,1
17571,LITTLE NECK,A1,8242.0,38.0,1,1.0,1960-01-01,880000.0,2021-12-01,A,1
17572,LITTLE NECK,A1,8243.0,312.0,1,1.0,1955-01-01,1590000.0,2021-12-17,A,1
17574,LITTLE NECK,A1,8244.0,52.0,1,1.0,1960-01-01,1395000.0,2021-03-22,A,1
17575,LITTLE NECK,A1,8245.0,104.0,1,1.0,1945-01-01,1200000.0,2021-12-08,A,1
17576,LITTLE NECK,A0,8245.0,123.0,1,1.0,1945-01-01,710000.0,2021-05-10,A,0
17577,LITTLE NECK,A1,8246.0,1.0,1,1.0,1950-01-01,1810000.0,2021-12-21,A,1
17579,LITTLE NECK,A1,8249.0,32.0,1,1.0,1940-01-01,1250000.0,2021-05-27,A,1
17580,LITTLE NECK,A1,8249.0,107.0,1,1.0,1960-01-01,1388000.0,2021-01-29,A,1
17582,LITTLE NECK,A1,8250.0,47.0,1,1.0,1960-01-01,1025000.0,2021-11-02,A,1
17583,LITTLE NECK,A1,8250.0,81.0,1,1.0,1930-01-01,10.0,2021-09-10,A,1
17584,LITTLE NECK,A1,8251.0,9.0,1,1.0,1930-01-01,2180000.0,2021-01-19,A,1
17586,LITTLE NECK,A1,8251.0,69.0,1,1.0,1930-01-01,980000.0,2021-06-16,A,1
17587,LITTLE NECK,A2,8252.0,9.0,1,1.0,1955-01-01,915000.0,2021-01-15,A,2
17588,LITTLE NECK,A1,8253.0,83.0,1,1.0,2005-01-01,1983000.0,2021-01-11,A,1
17590,LITTLE NECK,A2,8260.0,213.0,1,1.0,1925-01-01,738888.0,2021-02-09,A,2
17591,LITTLE NECK,A2,8260.0,213.0,1,1.0,1925-01-01,1800000.0,2021-12-21,A,2
17592,LITTLE NECK,A5,8261.0,48.0,1,1.0,1925-01-01,715000.0,2021-02-26,A,5
17593,LITTLE NECK,A5,8261.0,109.0,1,1.0,1925-01-01,855000.0,2021-06-10,A,5
17594,LITTLE NECK,A1,8263.0,74.0,1,1.0,1925-01-01,1563000.0,2021-09-20,A,1
17595,LITTLE NECK,A1,8265.0,50.0,1,1.0,1940-01-01,200000.0,2021-01-09,A,1
17597,LITTLE NECK,A1,8271.0,15.0,1,1.0,1930-01-01,1890000.0,2021-07-30,A,1
17599,LITTLE NECK,A2,8271.0,44.0,1,1.0,1950-01-01,779000.0,2021-01-27,A,2
17600,LITTLE NECK,A2,8271.0,58.0,1,1.0,1930-01-01,865000.0,2021-05-27,A,2
17601,LITTLE NECK,A1,8272.0,31.0,1,1.0,1940-01-01,1108000.0,2021-06-24,A,1
17602,LITTLE NECK,A0,8344.0,1.0,1,1.0,1950-01-01,456300.0,2021-12-24,A,0
17603,LITTLE NECK,A0,8344.0,20.0,1,1.0,1950-01-01,1150000.0,2021-10-27,A,0
17604,LITTLE NECK,A0,8345.0,25.0,1,1.0,1950-01-01,945000.0,2021-04-23,A,0
17605,LITTLE NECK,A5,8346.0,44.0,1,1.0,1950-01-01,788000.0,2021-01-19,A,5
17606,LITTLE NECK,A5,8346.0,60.0,1,1.0,1950-01-01,785000.0,2021-11-15,A,5
17607,LITTLE NECK,A5,8346.0,75.0,1,1.0,1950-01-01,740000.0,2021-04-27,A,5
17611,LITTLE NECK,A2,8375.0,46.0,1,1.0,1950-01-01,942000.0,2021-04-30,A,2
17613,LITTLE NECK,A2,8382.0,11.0,1,1.0,1950-01-01,800000.0,2021-10-08,A,2
17615,LITTLE NECK,A1,8392.0,182.0,1,1.0,1945-01-01,998888.0,2021-09-08,A,1
17616,LITTLE NECK,A2,8395.0,130.0,1,1.0,1955-01-01,890000.0,2021-06-11,A,2
17618,LITTLE NECK,A2,8395.0,144.0,1,1.0,1955-01-01,1390000.0,2021-07-14,A,2
17619,LITTLE NECK,A2,8395.0,154.0,1,1.0,1955-01-01,880000.0,2021-04-27,A,2
17620,LITTLE NECK,A2,8395.0,172.0,1,1.0,1955-01-01,950000.0,2021-07-12,A,2
17621,LITTLE NECK,A1,8395.0,178.0,1,1.0,1955-01-01,1199900.0,2021-10-29,A,1
17622,LITTLE NECK,A2,8396.0,30.0,1,1.0,1955-01-01,939000.0,2021-07-26,A,2
17624,LITTLE NECK,A3,8397.0,24.0,1,1.0,1955-01-01,1043500.0,2021-05-06,A,3
17626,LITTLE NECK,A3,8397.0,83.0,1,1.0,1955-01-01,1220000.0,2021-01-12,A,3
17627,LITTLE NECK,A1,8397.0,100.0,1,1.0,2006-01-01,1220000.0,2021-07-06,A,1
17628,LITTLE NECK,A2,8399.0,46.0,1,1.0,1950-01-01,999000.0,2021-12-10,A,2
17629,LITTLE NECK,A2,8399.0,77.0,1,1.0,1950-01-01,950000.0,2021-06-02,A,2
17630,LITTLE NECK,A2,8399.0,107.0,1,1.0,1950-01-01,750000.0,2021-04-27,A,2
17632,LITTLE NECK,A1,8399.0,137.0,1,1.0,1950-01-01,950000.0,2021-06-16,A,1
17634,LITTLE NECK,A1,8399.0,168.0,1,1.0,1950-01-01,980000.0,2021-03-08,A,1
17635,LITTLE NECK,A1,8399.0,183.0,1,1.0,1950-01-01,985000.0,2021-06-29,A,1
17636,LITTLE NECK,A3,8399.0,230.0,1,1.0,1950-01-01,999000.0,2021-03-01,A,3
17637,LITTLE NECK,A2,8400.0,5.0,1,1.0,1950-01-01,888000.0,2021-11-05,A,2
17638,LITTLE NECK,A2,8400.0,164.0,1,1.0,1950-01-01,955000.0,2021-09-16,A,2
17639,LITTLE NECK,A2,8400.0,165.0,1,1.0,1950-01-01,640000.0,2021-04-20,A,2
17640,LITTLE NECK,A2,8400.0,167.0,1,1.0,1950-01-01,690000.0,2021-03-24,A,2
17641,LITTLE NECK,A1,8400.0,176.0,1,1.0,1950-01-01,450000.0,2021-10-07,A,1
17807,LONG ISLAND CITY,A9,33.0,27.0,1,1.0,1911-01-01,2420000.0,2021-02-24,A,9
17809,LONG ISLAND CITY,A5,212.0,33.0,1,1.0,1945-01-01,835000.0,2021-12-16,A,5
17810,LONG ISLAND CITY,A5,232.0,13.0,1,1.0,1965-01-01,925000.0,2021-05-18,A,5
17812,LONG ISLAND CITY,A5,339.0,87.0,1,1.0,1935-01-01,1050000.0,2021-01-15,A,5
17813,LONG ISLAND CITY,A9,397.0,26.0,1,1.0,1901-01-01,163000.0,2021-03-18,A,9
17814,LONG ISLAND CITY,A9,398.0,24.0,1,1.0,1901-01-01,1075000.0,2021-12-21,A,9
17815,LONG ISLAND CITY,A1,602.0,26.0,1,1.0,1990-01-01,3500000.0,2021-05-25,A,1
17923,LONG ISLAND CITY,R2,29.0,1701.0,1,2.0,2018-01-01,2341975.0,2021-04-23,R,2
17924,LONG ISLAND CITY,R2,29.0,1702.0,1,2.0,2018-01-01,1965866.0,2021-05-19,R,2
17925,LONG ISLAND CITY,R2,29.0,1703.0,1,2.0,2018-01-01,1435733.0,2021-07-09,R,2
